#SampleID	fastqFile	Group	Weight
AA1	AA1.extendedFrags.fastq.gz	w4_con	229
AA10	AA10.extendedFrags.fastq.gz	w4_con	195
AA2	AA2.extendedFrags.fastq.gz	w4_con	239
AA3	AA3.extendedFrags.fastq.gz	w4_con	203
AA4	AA4.extendedFrags.fastq.gz	w4_con	233
AA5	AA5.extendedFrags.fastq.gz	w4_con	192
AA6	AA6.extendedFrags.fastq.gz	w4_con	199
AA7	AA7.extendedFrags.fastq.gz	w4_con	260
AA8	AA8.extendedFrags.fastq.gz	w4_con	236
AA9	AA9.extendedFrags.fastq.gz	w4_con	272
AB1	AB1.extendedFrags.fastq.gz	w1_con	182
AB10	AB10.extendedFrags.fastq.gz	w1_con	180
AB2	AB2.extendedFrags.fastq.gz	w1_con	170
AB3	AB3.extendedFrags.fastq.gz	w1_con	209
AB4	AB4.extendedFrags.fastq.gz	w1_con	240
AB5	AB5.extendedFrags.fastq.gz	w1_con	200
AB6	AB6.extendedFrags.fastq.gz	w1_con	194
AB7	AB7.extendedFrags.fastq.gz	w1_con	261
AB8	AB8.extendedFrags.fastq.gz	w1_con	244
AB9	AB9.extendedFrags.fastq.gz	w1_con	283
AC1	AC1.extendedFrags.fastq.gz	w4_pry	267
AC2	AC2.extendedFrags.fastq.gz	w4_pry	236
AC3	AC3.extendedFrags.fastq.gz	w4_pry	259
AC4	AC4.extendedFrags.fastq.gz	w4_pry	196
AC5	AC5.extendedFrags.fastq.gz	w4_pry	286
AC6	AC6.extendedFrags.fastq.gz	w4_pry	191
AC7	AC7.extendedFrags.fastq.gz	w4_pry	195
AC8	AC8.extendedFrags.fastq.gz	w4_pry	217
AC9	AC9.extendedFrags.fastq.gz	w4_pry	212
BA1	BA1.extendedFrags.fastq.gz	w4_sch	203
BA10	BA10.extendedFrags.fastq.gz	w4_sch	174
BA2	BA2.extendedFrags.fastq.gz	w4_sch	203
BA3	BA3.extendedFrags.fastq.gz	w4_sch	206
BA4	BA4.extendedFrags.fastq.gz	w4_sch	208
BA5	BA5.extendedFrags.fastq.gz	w4_sch	217
BA6	BA6.extendedFrags.fastq.gz	w4_sch	238
BA7	BA7.extendedFrags.fastq.gz	w4_sch	202
BA8	BA8.extendedFrags.fastq.gz	w4_sch	197
BA9	BA9.extendedFrags.fastq.gz	w4_sch	237
BB1	BB1.extendedFrags.fastq.gz	w1_sch	165
BB10	BB10.extendedFrags.fastq.gz	w1_sch	133
BB2	BB2.extendedFrags.fastq.gz	w1_sch	176
BB3	BB3.extendedFrags.fastq.gz	w1_sch	187
BB4	BB4.extendedFrags.fastq.gz	w1_sch	178
BB5	BB5.extendedFrags.fastq.gz	w1_sch	192
BB6	BB6.extendedFrags.fastq.gz	w1_sch	183
BB7	BB7.extendedFrags.fastq.gz	w1_sch	163
BB8	BB8.extendedFrags.fastq.gz	w1_sch	166
BB9	BB9.extendedFrags.fastq.gz	w1_sch	200
BC1	BC1.extendedFrags.fastq.gz	w1_pry	246
BC10	BC10.extendedFrags.fastq.gz	w1_pry	180
BC2	BC2.extendedFrags.fastq.gz	w1_pry	221
BC3	BC3.extendedFrags.fastq.gz	w1_pry	247
BC4	BC4.extendedFrags.fastq.gz	w1_pry	185
BC5	BC5.extendedFrags.fastq.gz	w1_pry	278
BC6	BC6.extendedFrags.fastq.gz	w1_pry	186
BC7	BC7.extendedFrags.fastq.gz	w1_pry	182
BC8	BC8.extendedFrags.fastq.gz	w1_pry	205
BC9	BC9.extendedFrags.fastq.gz	w1_pry	190
