,Group,g_Alistipes,g_Alloprevotella,g_Bacteroides,g_Bifidobacterium,g_Candidatus Saccharimonas,g_Colidextribacter,g_Incertae Sedis,g_Lachnospiraceae NK4A136 group,g_Papillibacter,g_Parabacteroides,g_Prevotella,g_Prevotella_9,g_Prevotellaceae Ga6A1 group,g_Prevotellaceae NK3B31 group,g_Rikenellaceae RC9 gut group,g_Ruminococcus,g_UCG-003
AB1,CN,0.0017124394184168013,0.009596122778675283,0.0032310177705977385,0.0016639741518578353,0.002859450726978998,0.012972536348949919,0.0007108239095315024,0.009402261712439419,0.0006946688206785137,0.0040064620355411956,0.013941841680129241,0.49651050080775444,0.0005977382875605816,0.09426494345718901,0.024975767366720518,0.011243941841680129,0.005525040387722132
AB10,CN,0.0015846080902353205,0.0020587427944002198,0.0033064657000973223,0.021410925061762284,0.0011603823022983057,0.007024679959074688,0.0006987248271903776,0.006301000673770369,0.0003992713298230729,0.0028323309959324234,0.0019090160457165672,0.6282284830184912,0.0006987248271903776,0.02600254535472762,0.009881965413121054,0.01568387692461258,0.002270855688368727
AB2,CN,0.003510066004502041,0.0037771362439750224,0.009563658099222952,0.0028614668514962294,0.005277816637204156,0.009690834403733896,0.0009919751751853595,0.010326715926288614,0.0014498098714247562,0.004362147244725363,0.0022128676984904173,0.6115526955017742,0.001017410436087548,0.09140161005201511,0.025829507446172628,0.0059391334206610625,0.0023400440030013608
AB3,CN,0.003059836808703536,0.0026992499793950385,0.0031010467320530784,0.0035749608505728178,0.00104055056457595,0.00896315832852551,0.0009478282370394791,0.031216516937278498,0.000576938926893596,0.0017102118190060165,0.0016071870106321602,0.7761992087694717,0.00047391411851973957,0.06273180581884118,0.007407483722080277,0.0034616335613615757,0.0028640896727932085
AB4,CN,0.007377264373851404,0.004121816749803098,0.005250721974271462,0.010987135731163035,0.020477815699658702,0.04014176949330533,0.003977421895510633,0.04927802572853767,0.0066421632974534,0.0036492517721186664,0.005998949855605146,0.35343922289314783,0.0021265423995799424,0.034602257810448935,0.012575479128380153,0.026844316093462852,0.018180624835914937
AB5,CN,0.003028601006596844,0.003425072411096794,0.005903018689221484,0.0016850034691247894,0.0013876499157498266,0.006486712701401967,0.0009691523221109899,0.010242177949582053,0.0003414059316527351,0.001607911807138688,0.007940441184568452,0.7819517406195967,0.002588077223819121,0.03004372198544069,0.014845651479609255,0.007775244766026806,0.0018391867930969924
AB6,CN,0.0020718958372772977,0.00237689573210492,0.00362844702467344,0.002629309438169159,0.0028501714309753685,0.006762583874971077,0.0006836204539239814,0.005227067163080288,0.00041017227235438887,0.002397930207610273,0.002461033634126333,0.7692518037062746,0.0010096548242569572,0.028533266023011716,0.007004480343282641,0.004217412338823332,0.003418102269619907
AB7,CN,0.006687383016227807,0.005869632375656472,0.006705555252684948,0.0040887532028566756,0.003216485852913918,0.021279688891311852,0.001235712079085573,0.02209743953188319,0.0008904395863998983,0.006850933144342074,0.0066692107797706665,0.2597902923912846,0.0012720565519998546,0.03892493049119555,0.024423485798397208,0.009522251903541768,0.0070689999818277635
AB8,CN,0.0033455583862930095,0.006117192530585963,0.006873092751756768,0.0027436378398051457,0.0007279039166829979,0.019597413141465327,0.0006719113077073827,0.007307035471317786,0.0006159186987317675,0.005277303395951735,0.011842436798342619,0.4790587642431199,0.0006299168509756712,0.025742601976539096,0.016209860298440605,0.01077857722780593,0.006635124163610403
AB9,CN,0.004368609326031213,0.005903953908005952,0.006220519801196619,0.001994365127101206,0.016746335749786317,0.06643135268606161,0.0015195162873152047,0.026591535028016082,0.001329576751400804,0.004511063977967014,0.0043527810313716804,0.36118585583589224,0.0013612333407198708,0.07262021589793916,0.023188451676216405,0.011902877583969103,0.0068219949982588875
BA1,CMC,0.04780224116161616,0.007398200757575758,0.02233270202020202,0.006648516414141414,0.00530697601010101,0.050919349747474744,0.0025449810606060605,0.025706281565656564,0.0011442550505050505,0.007457386363636364,0.03310448232323232,0.3856928661616162,0.004675662878787879,0.16025489267676768,0.04657907196969697,0.012705176767676768,0.007575757575757576
BA10,CMC,0.02619201107848053,0.02466394479860564,0.01924408471217439,0.0056824964782847456,0.00871475300241148,0.020891531170164505,0.004703579017739895,0.03378459040660889,0.0007162810686913545,0.00940715803547979,0.02053339063581883,0.16541317479645679,0.007735835541866629,0.12487166630852613,0.13179571663920922,0.01270205095146002,0.016928109256739012
BA2,CMC,0.0514759835186544,0.01367801170250795,0.017873605388421667,0.006171097439370849,0.013847340595661417,0.0450414855788226,0.0034242065059923612,0.01704577524411582,0.008221858478673967,0.00718707079829166,0.055728020168952605,0.3065605538936238,0.008052529585520498,0.25175443547628457,0.040206204963218,0.011683693627589321,0.011646064984666329
BA3,CMC,0.02627506808615994,0.0061587026491705865,0.00971775191879178,0.024015845506313444,0.005292151522654122,0.04004704134686804,0.0022282743253280515,0.09067838573904431,0.0013926714533300322,0.01541223075018569,0.006622926466947264,0.23180242634315423,0.0038375835602871998,0.05505694478831394,0.055397375588016835,0.028781876702154,0.009470165882644219
BA4,CMC,0.02293636433140498,0.007798363872677693,0.02466933408088891,0.0031346364586253474,0.021840515813348962,0.07553709319809374,0.0027013940212543643,0.04322230434006983,0.011417212467188256,0.014934121664670353,0.01388924284512857,0.28428349346313614,0.002675909171997248,0.11282142766125539,0.07112821427661255,0.01845103086215245,0.016284818675297536
