,description,SampleID,Group,relative_abundance
14,biotin biosynthesis I,AB1,CN,0.0021778057260198
19,pyruvate fermentation to butanoate,AB1,CN,0.000744725041058
34,fatty acid &beta;-oxidation I,AB1,CN,0.0004457733633984
68,L-methionine biosynthesis III,AB1,CN,0.0010245850520777
82,NAD biosynthesis II (from tryptophan),AB1,CN,2.924270431479535e-06
91,pyruvate fermentation to propanoate I,AB1,CN,0.002127024256157
94,"superpathway of (R,R)-butanediol biosynthesis",AB1,CN,4.984573362901937e-05
123,"superpathway of histidine, purine, and pyrimidine biosynthesis",AB1,CN,0.0040742503880995
126,superpathway of taurine degradation,AB1,CN,3.995435905354933e-06
128,photorespiration,AB1,CN,2.8578722687092955e-05
139,biotin biosynthesis II,AB1,CN,6.13135466719607e-05
178,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AB1,CN,1.8279899003194103e-06
209,superpathway of heme biosynthesis from glycine,AB1,CN,0.0008147301955311
234,superpathway of menaquinol-8 biosynthesis II,AB1,CN,0.0002983303469163
248,"superpathway of 2,3-butanediol biosynthesis",AB1,CN,0.0001240975749552
256,8-amino-7-oxononanoate biosynthesis I,AB1,CN,0.002206531273116
260,chondroitin sulfate degradation I (bacterial),AB1,CN,5.33908645637061e-05
262,superpathway of Clostridium acetobutylicum acidogenic fermentation,AB1,CN,0.000934070311632
281,isopropanol biosynthesis,AB1,CN,1.2149666782631017e-05
286,superpathway of glucose and xylose degradation,AB1,CN,0.002881187465343
313,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AB1,CN,0.0030596320877293
322,"myo-, chiro- and scillo-inositol degradation",AB1,CN,4.508691711049546e-05
335,"1,4-dihydroxy-6-naphthoate biosynthesis I",AB1,CN,7.656136186220031e-05
375,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AB1,CN,0.0017417267521949
384,pyridoxal 5'-phosphate biosynthesis I,AB1,CN,0.0014229540959524
385,TCA cycle VIII (helicobacter),AB1,CN,0.0014240296504472
421,biotin biosynthesis I,AB10,CN,0.002126115366922
426,pyruvate fermentation to butanoate,AB10,CN,0.0003582749025864
441,fatty acid &beta;-oxidation I,AB10,CN,0.0001849281236784
475,L-methionine biosynthesis III,AB10,CN,0.0011675831145004
489,NAD biosynthesis II (from tryptophan),AB10,CN,8.851240273941096e-07
498,pyruvate fermentation to propanoate I,AB10,CN,0.0019774436686406
501,"superpathway of (R,R)-butanediol biosynthesis",AB10,CN,9.096842038604204e-05
530,"superpathway of histidine, purine, and pyrimidine biosynthesis",AB10,CN,0.0029873042414101
533,superpathway of taurine degradation,AB10,CN,3.970988792135587e-06
535,photorespiration,AB10,CN,3.385139468777938e-05
546,biotin biosynthesis II,AB10,CN,1.3723601002654294e-05
585,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AB10,CN,5.532291622365358e-07
616,superpathway of heme biosynthesis from glycine,AB10,CN,0.0003671453074919
641,superpathway of menaquinol-8 biosynthesis II,AB10,CN,0.0002470309934787
655,"superpathway of 2,3-butanediol biosynthesis",AB10,CN,0.0001678047721073
663,8-amino-7-oxononanoate biosynthesis I,AB10,CN,0.0022698422967874
667,chondroitin sulfate degradation I (bacterial),AB10,CN,7.713895559221403e-05
669,superpathway of Clostridium acetobutylicum acidogenic fermentation,AB10,CN,0.000455212404688
688,isopropanol biosynthesis,AB10,CN,0.0
693,superpathway of glucose and xylose degradation,AB10,CN,0.0028011726829401
720,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AB10,CN,0.0024191043532327
729,"myo-, chiro- and scillo-inositol degradation",AB10,CN,8.048863776195552e-05
742,"1,4-dihydroxy-6-naphthoate biosynthesis I",AB10,CN,7.221553770000794e-05
782,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AB10,CN,0.0010708322809396
