,pathway,description,#SampleID,Abundance,Group,relative_abundance
0,1CMET2-PWY,N10-formyl-tetrahydrofolate biosynthesis,AC1,77446.91540518844,CMY,0.007467173424184435
1,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,4-hydroxyphenylacetate degradation,AC1,75.10553391809468,CMY,7.241425225888435e-06
2,AEROBACTINSYN-PWY,aerobactin biosynthesis,AC1,0.0,CMY,0.0
3,ALL-CHORISMATE-PWY,superpathway of chorismate metabolism,AC1,156.06082953203864,CMY,1.5046864975073578e-05
4,ANAEROFRUCAT-PWY,homolactic fermentation,AC1,80110.818557562,CMY,0.007724018086362838
5,ANAGLYCOLYSIS-PWY,glycolysis III (from glucose),AC1,93592.34816916348,CMY,0.009023862232594153
6,ARG+POLYAMINE-SYN,superpathway of arginine and polyamine biosynthesis,AC1,23511.843873665584,CMY,0.002266933612636139
7,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",AC1,1.4083669643642205,CMY,1.3579004809654787e-07
8,ARGORNPROST-PWY,"arginine, ornithine and proline interconversion",AC1,2540.283845199528,CMY,0.0002449257006495081
9,ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),AC1,46984.383058404856,CMY,0.004530077598183053
10,ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),AC1,44043.66961396836,CMY,0.00424654381035492
11,ARO-PWY,chorismate biosynthesis I,AC1,69881.74950505959,CMY,0.006737765345587105
12,ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis,AC1,83000.32401581615,CMY,0.008002614570858407
13,AST-PWY,L-arginine degradation II (AST pathway),AC1,163.69080241460145,CMY,1.5782521526891574e-05
14,BIOTIN-BIOSYNTHESIS-PWY,biotin biosynthesis I,AC1,28476.21738601976,CMY,0.0027455819586061944
15,BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched amino acid biosynthesis,AC1,70575.63265348464,CMY,0.0068046672457893415
16,CALVIN-PWY,Calvin-Benson-Bassham cycle,AC1,92439.69787723564,CMY,0.008912727533655771
17,CATECHOL-ORTHO-CLEAVAGE-PWY,catechol degradation to &beta;-ketoadipate,AC1,31.0237557655439,CMY,2.991207117273238e-06
18,CENTBENZCOA-PWY,benzoyl-CoA degradation II (anaerobic),AC1,0.0,CMY,0.0
19,CENTFERM-PWY,pyruvate fermentation to butanoate,AC1,7607.696342349367,CMY,0.0007335087220665545
20,CHLOROPHYLL-SYN,"chlorophyllide a biosynthesis I (aerobic, light-dependent)",AC1,0.0,CMY,0.0
21,COA-PWY,coenzyme A biosynthesis I,AC1,88729.33797598751,CMY,0.008554986999977867
22,COBALSYN-PWY,adenosylcobalamin salvage from cobinamide I,AC1,47084.50132745758,CMY,0.004539730667953935
23,CODH-PWY,reductive acetyl coenzyme A pathway,AC1,3626.764791093033,CMY,0.0003496805718101384
24,COLANSYN-PWY,colanic acid building blocks biosynthesis,AC1,56384.79976556856,CMY,0.005436434442025662
25,COMPLETE-ARO-PWY,superpathway of aromatic amino acid biosynthesis,AC1,73355.67817546726,CMY,0.007072709968100019
26,CRNFORCAT-PWY,creatinine degradation I,AC1,158.41990435711915,CMY,1.5274319106039827e-05
27,DAPLYSINESYN-PWY,L-lysine biosynthesis I,AC1,51883.7464784245,CMY,0.00500245788775287
28,DENITRIFICATION-PWY,nitrate reduction I (denitrification),AC1,76.00936498526028,CMY,7.3285696045816515e-06
29,DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,AC1,78142.02540489957,CMY,0.0075341936132981265
30,DHGLUCONATE-PYR-CAT-PWY,glucose degradation (oxidative),AC1,36.77196666238243,CMY,3.545430451035663e-06
31,DTDPRHAMSYN-PWY,dTDP-L-rhamnose biosynthesis I,AC1,80362.23115672026,CMY,0.0077482584511225925
32,ECASYN-PWY,enterobacterial common antigen biosynthesis,AC1,0.8243710304676466,CMY,7.948310682446048e-08
33,ENTBACSYN-PWY,enterobactin biosynthesis,AC1,18.17027093330037,CMY,1.751916955162319e-06
34,FAO-PWY,fatty acid &beta;-oxidation I,AC1,4010.317638529835,CMY,0.0003866614588366407
35,FASYN-ELONG-PWY,fatty acid elongation -- saturated,AC1,92073.73653316886,CMY,0.008877442760745227
36,FASYN-INITIAL-PWY,superpathway of fatty acid biosynthesis initiation (E. coli),AC1,28042.71770899988,CMY,0.0027037853647625286
37,FERMENTATION-PWY,mixed acid fermentation,AC1,51125.970799995805,CMY,0.004929395682785091
38,FOLSYN-PWY,superpathway of tetrahydrofolate biosynthesis and salvage,AC1,74436.74966822479,CMY,0.007176943277820985
39,FUC-RHAMCAT-PWY,superpathway of fucose and rhamnose degradation,AC1,1670.491356420418,CMY,0.000161063208221159
40,FUCCAT-PWY,fucose degradation,AC1,1099.920779211656,CMY,0.00010605069508923625
41,GALACT-GLUCUROCAT-PWY,superpathway of hexuronide and hexuronate degradation,AC1,15141.63809819286,CMY,0.0014599062727534999
42,GALACTARDEG-PWY,D-galactarate degradation I,AC1,106.27911677204348,CMY,1.024707817159663e-05
43,GALACTUROCAT-PWY,D-galacturonate degradation I,AC1,28145.81982905121,CMY,0.002713726127500418
44,GALLATE-DEGRADATION-I-PWY,gallate degradation II,AC1,9.245346653592826,CMY,8.914055061830886e-07
45,GALLATE-DEGRADATION-II-PWY,gallate degradation I,AC1,9.245346653592826,CMY,8.914055061830886e-07
46,GLCMANNANAUT-PWY,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",AC1,24261.540560503003,CMY,0.0023392168681649504
47,GLUCARDEG-PWY,D-glucarate degradation I,AC1,924.467504737062,CMY,8.913407521498552e-05
48,GLUCARGALACTSUPER-PWY,superpathway of D-glucarate and D-galactarate degradation,AC1,106.27911677204348,CMY,1.024707817159663e-05
49,GLUCONEO-PWY,gluconeogenesis I,AC1,83469.14816411491,CMY,0.008047817032473268
50,GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation,AC1,239.8308193635985,CMY,2.3123688158305458e-05
51,GLUCUROCAT-PWY,superpathway of &beta;-D-glucuronide and D-glucuronate degradation,AC1,13799.836591304618,CMY,0.0013305342441795218
52,GLUTORN-PWY,L-ornithine biosynthesis,AC1,38003.54660006174,CMY,0.0036641752833157302
53,GLYCOCAT-PWY,glycogen degradation I (bacterial),AC1,79674.57337788495,CMY,0.007681956780304743
54,GLYCOGENSYNTH-PWY,glycogen biosynthesis I (from ADP-D-Glucose),AC1,73109.51450028109,CMY,0.00704897568709305
55,GLYCOL-GLYOXDEG-PWY,superpathway of glycol metabolism and degradation,AC1,280.92391940933925,CMY,2.7085747886230406e-05
56,GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),AC1,89394.37280573061,CMY,0.008619107441454894
57,GLYCOLYSIS-E-D,superpathway of glycolysis and Entner-Doudoroff,AC1,23362.69274862368,CMY,0.002252552958335406
58,GLYCOLYSIS-TCA-GLYOX-BYPASS,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",AC1,1639.9897491725171,CMY,0.00015812234492344299
59,GLYOXYLATE-BYPASS,glyoxylate cycle,AC1,641.1834207972732,CMY,6.182076813202958e-05
60,GOLPDLCAT-PWY,"superpathway of glycerol degradation to 1,3-propanediol",AC1,2709.0660279697604,CMY,0.00026119911609883773
61,HCAMHPDEG-PWY,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,AC1,0.0,CMY,0.0
62,HEME-BIOSYNTHESIS-II,heme biosynthesis I (aerobic),AC1,13322.5857672515,CMY,0.0012845193105776493
63,HEMESYN2-PWY,heme biosynthesis II (anaerobic),AC1,22886.58061008445,CMY,0.002206647812995123
64,HEXITOLDEGSUPER-PWY,superpathway of hexitol degradation (bacteria),AC1,954.5221701415944,CMY,9.203184586998626e-05
65,HISDEG-PWY,L-histidine degradation I,AC1,36119.38266597444,CMY,0.0034825104774055785
66,HISTSYN-PWY,L-histidine biosynthesis,AC1,55147.18211509609,CMY,0.005317107473604006
67,HOMOSER-METSYN-PWY,L-methionine biosynthesis I,AC1,4880.183933298652,CMY,0.0004705310673924947
