	Group	OTU	Pathway	Correlation	P-value
0	CN	g_Alistipes	1,4-dihydroxy-6-naphthoate biosynthesis I	0.5111111111111111	0.04662257495590829
1	CN	g_Alistipes	pyridoxal 5'-phosphate biosynthesis I	0.06666666666666667	0.8618005952380953
2	CN	g_Alistipes	pyrimidine deoxyribonucleotides de novo biosynthesis III	-0.4222222222222222	0.10831349206349207
3	CN	g_Alistipes	pyruvate fermentation to propanoate I	0.15555555555555553	0.6006536596119929
4	CN	g_Alistipes	superpathway of menaquinol-8 biosynthesis II	0.5111111111111111	0.04662257495590829
5	CN	g_Alistipes	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.06666666666666667	0.8618005952380953
6	CN	g_Alloprevotella	1,4-dihydroxy-6-naphthoate biosynthesis I	0.15555555555555553	0.6006536596119929
7	CN	g_Alloprevotella	pyridoxal 5'-phosphate biosynthesis I	0.4222222222222222	0.10831349206349207
8	CN	g_Alloprevotella	pyrimidine deoxyribonucleotides de novo biosynthesis III	-0.06666666666666667	0.8618005952380953
9	CN	g_Alloprevotella	pyruvate fermentation to propanoate I	0.06666666666666667	0.8618005952380953
10	CN	g_Alloprevotella	superpathway of menaquinol-8 biosynthesis II	0.15555555555555553	0.6006536596119929
11	CN	g_Alloprevotella	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.4222222222222222	0.10831349206349207
12	CN	g_Bacteroides	1,4-dihydroxy-6-naphthoate biosynthesis I	0.06666666666666667	0.8618005952380953
13	CN	g_Bacteroides	pyridoxal 5'-phosphate biosynthesis I	0.4222222222222222	0.10831349206349207
14	CN	g_Bacteroides	pyrimidine deoxyribonucleotides de novo biosynthesis III	-0.15555555555555553	0.6006536596119929
15	CN	g_Bacteroides	pyruvate fermentation to propanoate I	0.24444444444444444	0.38071979717813054
16	CN	g_Bacteroides	superpathway of menaquinol-8 biosynthesis II	0.06666666666666667	0.8618005952380953
17	CN	g_Bacteroides	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.4222222222222222	0.10831349206349207
18	CN	g_Bifidobacterium	1,4-dihydroxy-6-naphthoate biosynthesis I	-0.1111111111111111	0.7274895282186948
19	CN	g_Bifidobacterium	pyridoxal 5'-phosphate biosynthesis I	-0.4666666666666666	0.07255015432098766
20	CN	g_Bifidobacterium	pyrimidine deoxyribonucleotides de novo biosynthesis III	-0.5111111111111111	0.04662257495590829
21	CN	g_Bifidobacterium	pyruvate fermentation to propanoate I	-0.1111111111111111	0.7274895282186948
22	CN	g_Bifidobacterium	superpathway of menaquinol-8 biosynthesis II	-0.1111111111111111	0.7274895282186948
23	CN	g_Bifidobacterium	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	-0.4666666666666666	0.07255015432098766
24	CN	g_Candidatus Saccharimonas	1,4-dihydroxy-6-naphthoate biosynthesis I	0.15555555555555553	0.6006536596119929
25	CN	g_Candidatus Saccharimonas	pyridoxal 5'-phosphate biosynthesis I	0.3333333333333333	0.21637345679012346
26	CN	g_Candidatus Saccharimonas	pyrimidine deoxyribonucleotides de novo biosynthesis III	-0.06666666666666667	0.8618005952380953
27	CN	g_Candidatus Saccharimonas	pyruvate fermentation to propanoate I	0.5111111111111111	0.04662257495590829
28	CN	g_Candidatus Saccharimonas	superpathway of menaquinol-8 biosynthesis II	0.15555555555555553	0.6006536596119929
29	CN	g_Candidatus Saccharimonas	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.3333333333333333	0.21637345679012346
30	CN	g_Colidextribacter	1,4-dihydroxy-6-naphthoate biosynthesis I	0.24444444444444444	0.38071979717813054
31	CN	g_Colidextribacter	pyridoxal 5'-phosphate biosynthesis I	0.06666666666666667	0.8618005952380953
32	CN	g_Colidextribacter	pyrimidine deoxyribonucleotides de novo biosynthesis III	-0.3333333333333333	0.21637345679012346
