pathway	description	#SampleID	Abundance	Group	relative_abundance
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	AB1	56985.91552485706	CN	0.006932489476377223
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	AB1	14.062229377672557	CN	1.7107079227777689e-06
AEROBACTINSYN-PWY	aerobactin biosynthesis	AB1	0.0	CN	0.0
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	AB1	497.5602569066751	CN	6.052953985383435e-05
ANAEROFRUCAT-PWY	homolactic fermentation	AB1	62225.30847748199	CN	0.007569875682637852
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	AB1	70731.2067871249	CN	0.00860464102729592
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	AB1	12066.147810233995	CN	0.0014678792460282944
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	AB1	7.150986511496178	CN	8.699366901465093e-07
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	AB1	2175.1902762620134	CN	0.000264617731599431
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	AB1	34495.53789417117	CN	0.00419647471187861
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	AB1	33166.24604409776	CN	0.004034762792770314
ARO-PWY	chorismate biosynthesis I	AB1	51977.74511450024	CN	0.006323232112589533
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	AB1	59572.83560650516	CN	0.007247195243180807
AST-PWY	L-arginine degradation II (AST pathway)	AB1	1556.0308025054276	CN	0.000189295320851384
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	AB1	17901.830728399666	CN	0.0021778057260198485
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	AB1	50405.06025683257	CN	0.006131910781256649
CALVIN-PWY	Calvin-Benson-Bassham cycle	AB1	71834.5646861357	CN	0.008738867475236965
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	AB1	4.008252600891505	CN	4.876146801962202e-07
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	AB1	0.0	CN	0.0
CENTFERM-PWY	pyruvate fermentation to butanoate	AB1	6121.731367006648	CN	0.0007447250410580886
