	pathway	description	AB1	AB10	AB2	AB3	AB4	AB5	AB6	AB7	AB8	AB9	AC1	AC2	AC3	AC4	AC5	AC6	AC7	AC8	AC9	BA1	BA10	BA2	BA3	BA4	BA5	BA6	BA7	BA8	BA9
0	1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	56985.91552485706	55644.71129109742	65131.53293932221	58180.722757118405	85175.77884410358	49769.49234658807	53214.135482469486	73379.40963082749	63304.1851987743	71401.72050945526	77446.91540518844	86115.3853888696	77964.4577785016	73827.17733506278	81162.22914801483	55275.836958437125	67633.25996482668	70039.9534660679	83473.49748013589	65572.07952758016	74142.07018627397	87366.29660839029	72343.43208755384	66377.43795876458	98827.69034682534	91843.53781190602	75251.70727087127	77914.99347350367	75961.55629868183
1	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	14.062229377672557	10.10914885758894	19.55462896811336	2.653904630982465	3.556417435554814	18.3487900661267	5.311660660638708	8.324067359686943	14.038184965170435	12.030514978857532	75.10553391809468	49.15993423453277	31.578748621884884	42.126430126864925	16.565189779010474	114.38615612834708	128.89941456044446	296.9586587455437	198.81561961756364	14.361806025830116	480.8095051370473	3.410935174358595	8.704273473520091	4.27271625543162	8.792585599397553	10.172550507678272	3.954445613926965	5.48058996081591	17.06211159807395
2	AEROBACTINSYN-PWY	aerobactin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.3710055865921787	0.8898986486486485	0.3597115384615384	0.1845859872611465	0.0	28.101818181818185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	497.5602569066751	81.45598687243982	146.85676344588873	67.95174405421999	236.1459767341373	100.06229179989153	84.12389538893896	1558.824431035343	404.9819972635614	790.5299883312149	156.06082953203864	682.3367943689801	67.38791816752162	136.9196166473257	360.5204975603597	2316.99889543823	2373.9614035424006	2248.525207036392	3001.2245053572265	276.17149938900747	4128.220346506311	325.07879570756955	215.3289889845041	316.49958671381086	229.0863245943084	327.1237271484889	230.0893998798225	228.75458005343583	695.5133217104163
4	ANAEROFRUCAT-PWY	homolactic fermentation	62225.30847748199	52087.78600636529	67476.15091996813	43767.24610873141	71480.99808693973	44756.377397821285	61535.93189249164	88790.03160327024	70874.93441757839	80057.09072690092	80110.818557562	78391.41399067758	81617.4348401534	65422.47828336531	76755.6316696017	52535.78486099502	63864.78410141791	78420.32934155299	82187.9681190804	63791.01501001616	77949.44407365203	67758.29289531536	74588.97454648884	63732.11870706351	86518.77561699919	87601.54133219122	74192.40728816859	72602.53857018428	81140.989389469
5	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	70731.2067871249	69747.83587877583	79208.76091790474	71330.52543342148	113765.04134196002	61400.030580340834	70043.78985238244	101264.49300448746	81032.65602098772	89062.7920223286	93592.34816916348	109852.19907071529	99719.352252097	90251.08324956958	100009.91965321402	68714.09838890692	82764.87408581487	87258.12282847126	103050.8307933742	81752.6883680038	92348.8015874626	104278.7904555806	86697.43596488846	80670.08695142895	127559.83227668608	109240.30980628853	90191.59784158386	90578.94161889287	93431.48387769583
6	ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	12066.147810233995	12489.783877566528	11017.394099147576	8914.374790186966	23171.99845990757	9579.046791130584	14353.419481946405	16908.36289606498	16842.568242745085	20448.232165950885	23511.843873665584	27768.94060867852	25597.400258815785	18214.944261814315	21223.759053114813	13276.351381556917	17613.356870332937	19200.95664522997	21592.498197198067	15034.380811603482	18672.967932998537	14909.783963882886	15598.08916563573	16574.9248755385	22605.35040266446	15813.019214205491	16281.294802502644	11934.336383296844	15932.423163619129
7	ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	7.150986511496178	1.3674507679355434	6.414055944562489	1.3081051861108266	4.63186081647409	6.296538795634652	3.1106309482221137	93.58252064061348	10.377998841794176	27.343331759157163	1.4083669643642205	37.91240742144537	3.3699508437627217	2.3167292640745987	20.586336906454274	254.9421664441845	150.26633157215323	81.52608196407384	109.00593259282554	8.958775585450484	229.10961474421643	16.12746761566639	8.29387471254926	12.904044265030889	12.035098985791745	15.037491058944871	10.73055643124544	10.491641132665231	44.31877228024754
8	ARGORNPROST-PWY	arginine, ornithine and proline interconversion	2175.1902762620134	1095.1054104431776	1592.8108806070393	1241.0143507774872	4328.308973524803	1195.512936615028	1947.7307347182707	2576.072162535663	2563.1278439734515	2321.7227914238	2540.283845199528	2989.2475134833385	4296.003512827272	2322.9893782767003	4131.254184154566	2253.4132254832234	2719.4169128578787	2881.425571428017	4505.325718288007	3965.6733399304208	6577.585081622236	2289.9275764976587	2085.982853826277	3505.7994653642395	3967.590274788028	3914.807336805666	2874.6134814172024	2512.8391689460145	2706.914746906467
9	ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	34495.53789417117	35226.586744295484	36771.94713928715	31351.224267716618	75711.34069920375	28685.666277661323	34952.841380701364	42962.079599239616	45030.81355673784	47272.95950059447	46984.383058404856	73326.78699988418	53378.12657981622	51649.83237344967	47980.17349231517	34286.17045039324	40303.56957104175	45256.14037756872	52254.60879250707	40697.09986511202	44687.60064679552	45847.10018108923	46500.91167273861	43748.84415980348	94113.16621839504	47449.48880043445	50739.07488512871	39772.74129031766	49317.75242132099
