,0
OTU1,63586
OTU5,58871
OTU2,49704
OTU3,39529
OTU4,39290
OTU6,35580
OTU9,32781
OTU20,30104
OTU11,27064
OTU41,22970
OTU16,21425
OTU33,19939
OTU15,18099
OTU35,17045
OTU29,16928
OTU24,15434
OTU7,14551
OTU23,14363
OTU18,13996
OTU37,13993
OTU30,12922
OTU14,12427
OTU34,12293
OTU17,11637
OTU42,11528
OTU25,11390
OTU26,11100
OTU10,10479
OTU12,10060
OTU39,10040
OTU61,9513
OTU13,9302
OTU55,9110
OTU36,8946
OTU56,7837
OTU21,7738
OTU43,7615
OTU62,7235
OTU27,7186
OTU75,7077
OTU28,7030
OTU19,6980
OTU53,6569
OTU32,6452
OTU22,6446
OTU82,6095
OTU8,5911
OTU49,5756
OTU51,5745
OTU60,5720
OTU38,5612
OTU68,5368
OTU65,5240
OTU63,5205
OTU71,4855
OTU64,4784
OTU40,4528
OTU87,4405
OTU66,4325
OTU52,4161
OTU59,4134
OTU73,4073
OTU99,4071
OTU92,3940
OTU54,3930
OTU46,3919
OTU120,3896
OTU47,3876
OTU50,3740
OTU70,3697
OTU69,3685
OTU115,3660
OTU31,3502
OTU67,3499
OTU149,3482
OTU58,3419
OTU57,3369
OTU74,3221
OTU94,3122
OTU44,3098
OTU110,2987
OTU85,2899
OTU147,2810
OTU122,2726
OTU100,2702
OTU77,2689
OTU117,2606
OTU161,2532
OTU160,2491
OTU105,2386
OTU90,2362
OTU121,2335
OTU96,2289
OTU119,2274
OTU111,2213
OTU88,2197
OTU106,2160
OTU108,2158
OTU84,2087
OTU132,2086
OTU135,2030
OTU137,1990
OTU95,1958
OTU168,1956
OTU81,1932
OTU182,1914
OTU116,1883
OTU107,1878
OTU148,1808
OTU83,1772
OTU124,1746
OTU113,1731
OTU177,1722
OTU125,1648
OTU186,1629
OTU133,1583
OTU172,1532
OTU103,1519
OTU76,1510
OTU91,1499
OTU136,1476
OTU129,1456
OTU198,1428
OTU164,1379
OTU202,1341
OTU156,1275
OTU78,1257
OTU104,1217
OTU171,1161
OTU97,1160
OTU134,1156
OTU173,1140
OTU142,1129
OTU185,1121
OTU118,1091
OTU163,1083
OTU86,1035
OTU130,1025
OTU45,1017
OTU244,1009
OTU48,983
OTU203,982
OTU162,959
OTU80,953
OTU102,934
OTU150,931
OTU155,930
OTU183,919
OTU215,918
OTU175,904
OTU144,901
OTU169,872
OTU139,836
OTU245,824
OTU145,823
OTU159,822
OTU126,818
OTU256,816
OTU143,809
OTU146,807
OTU112,804
OTU304,799
OTU267,797
OTU193,787
OTU278,772
OTU98,748
OTU184,745
OTU127,743
OTU138,741
OTU114,726
OTU273,726
OTU157,725
OTU179,717
OTU181,713
OTU205,711
OTU180,697
OTU152,684
OTU109,666
OTU232,654
OTU196,639
OTU230,610
OTU141,595
OTU200,590
OTU242,590
OTU165,577
OTU212,576
OTU220,536
OTU154,524
OTU276,512
OTU89,510
OTU347,507
OTU266,502
OTU286,502
OTU189,480
OTU223,467
OTU211,455
OTU279,455
OTU292,453
OTU170,452
OTU386,447
OTU233,443
OTU209,440
OTU277,428
OTU272,427
OTU240,427
OTU191,426
OTU197,425
OTU178,411
OTU201,409
OTU234,404
OTU315,396
OTU251,391
OTU246,387
OTU206,386
OTU271,384
OTU268,382
OTU247,378
OTU238,378
OTU166,373
OTU259,358
OTU228,357
OTU299,354
OTU281,354
OTU252,352
OTU192,348
OTU207,336
OTU320,326
OTU257,326
OTU258,324
OTU261,323
OTU235,322
OTU366,322
OTU227,322
OTU176,319
OTU290,318
OTU210,315
OTU383,314
OTU401,311
OTU101,310
OTU254,309
OTU348,307
OTU237,307
OTU231,306
OTU439,303
OTU263,301
OTU312,298
OTU391,293
OTU187,291
OTU337,289
OTU296,287
OTU194,287
OTU311,285
OTU400,285
OTU214,284
OTU93,282
OTU269,278
OTU225,277
OTU319,277
OTU248,275
OTU333,274
OTU167,273
OTU365,273
OTU507,269
OTU243,260
OTU283,259
OTU204,257
OTU236,246
OTU378,237
OTU479,234
OTU224,233
OTU216,231
OTU195,229
OTU360,228
OTU433,223
OTU458,221
OTU434,219
OTU229,213
OTU287,212
OTU361,211
OTU313,210
OTU297,204
OTU302,201
OTU249,200
OTU364,198
OTU345,197
OTU338,193
OTU158,192
OTU222,191
OTU208,191
OTU368,189
OTU293,189
OTU218,188
OTU307,188
OTU303,188
OTU316,186
OTU318,185
OTU308,183
OTU199,182
OTU325,182
OTU363,181
OTU282,179
OTU226,179
OTU253,178
OTU219,178
OTU326,178
OTU449,177
OTU377,176
OTU429,170
OTU407,163
OTU447,163
OTU632,161
OTU543,160
OTU404,160
OTU329,156
OTU334,153
OTU508,150
OTU314,150
OTU79,149
OTU355,149
OTU174,148
OTU418,148
OTU382,147
OTU371,145
OTU499,144
OTU340,143
OTU341,141
OTU323,140
OTU362,137
OTU513,136
OTU471,136
OTU327,135
OTU609,135
OTU416,134
OTU413,134
OTU284,132
OTU478,131
OTU351,130
OTU128,130
OTU403,129
OTU357,128
OTU443,127
OTU346,126
OTU300,126
OTU381,124
OTU455,124
OTU463,122
OTU384,121
OTU131,121
OTU393,121
OTU430,121
OTU356,120
OTU264,119
OTU255,116
OTU399,116
OTU280,115
OTU486,115
OTU473,114
OTU448,111
OTU372,110
OTU270,110
OTU545,110
OTU466,110
OTU442,109
OTU217,108
OTU306,107
OTU411,107
OTU452,106
OTU541,106
OTU408,106
OTU373,105
OTU440,104
OTU265,104
OTU353,104
OTU477,103
OTU349,101
OTU489,101
OTU343,101
OTU275,101
OTU387,100
OTU446,100
OTU482,100
OTU431,98
OTU322,98
OTU497,98
OTU420,98
OTU305,97
OTU358,97
OTU422,96
OTU336,96
OTU352,95
OTU354,92
OTU638,91
OTU398,90
OTU491,90
OTU335,90
OTU600,89
OTU464,89
OTU511,88
OTU524,88
OTU294,87
OTU72,86
OTU350,85
OTU409,85
OTU502,84
OTU241,84
OTU648,84
OTU671,83
OTU394,82
OTU457,81
OTU421,81
OTU515,81
OTU496,81
OTU274,81
OTU153,81
OTU484,80
OTU476,79
OTU388,78
OTU475,77
OTU656,77
OTU405,77
OTU510,77
OTU629,77
OTU500,74
OTU289,73
OTU331,73
OTU633,73
OTU188,71
OTU395,70
OTU295,70
OTU428,69
OTU608,69
OTU498,69
OTU342,69
OTU544,69
OTU556,69
OTU468,69
OTU560,69
OTU376,68
OTU317,67
OTU613,67
OTU521,66
OTU190,66
OTU630,65
OTU529,64
OTU526,64
OTU598,63
OTU635,63
OTU415,63
OTU514,62
OTU444,62
OTU151,61
OTU487,61
OTU551,61
OTU680,60
OTU359,60
OTU414,59
OTU525,59
OTU548,57
OTU301,57
OTU435,57
OTU528,56
OTU559,56
OTU493,55
OTU369,55
OTU310,55
OTU324,55
OTU481,54
OTU640,54
OTU370,54
OTU621,53
OTU469,53
OTU517,53
OTU567,53
OTU813,52
OTU518,52
OTU546,52
OTU578,50
OTU626,50
OTU717,50
OTU712,49
OTU250,49
OTU285,48
OTU427,48
OTU412,48
OTU441,47
OTU503,46
OTU426,45
OTU374,45
OTU623,45
OTU605,44
OTU538,44
OTU672,43
OTU697,43
OTU462,43
OTU616,43
OTU583,43
OTU542,43
OTU516,43
OTU766,43
OTU572,42
OTU483,42
OTU636,42
OTU587,41
OTU655,40
OTU480,40
OTU291,40
OTU723,39
OTU540,39
OTU950,39
OTU509,38
OTU140,38
OTU753,38
OTU595,37
OTU576,36
OTU887,36
OTU725,36
OTU660,36
OTU470,36
OTU642,36
OTU519,36
OTU664,36
OTU472,35
OTU410,35
OTU392,35
OTU390,35
OTU617,35
