,0
OTU1,131577
OTU7,65566
OTU2,48569
OTU3,38442
OTU9,27664
OTU16,27116
OTU13,25890
OTU5,24637
OTU32,22204
OTU18,21887
OTU15,20679
OTU17,16950
OTU24,16934
OTU21,16678
OTU6,16437
OTU30,15535
OTU11,14817
OTU10,14026
OTU66,13205
OTU19,13052
OTU4,12933
OTU12,12451
OTU26,11786
OTU23,11737
OTU34,11663
OTU46,11201
OTU45,10957
OTU50,10738
OTU36,10527
OTU20,10135
OTU35,9380
OTU28,9257
OTU44,8807
OTU38,8441
OTU39,8280
OTU37,8079
OTU49,7892
OTU43,7732
OTU14,7325
OTU33,7229
OTU77,6740
OTU27,6733
OTU29,6589
OTU85,6336
OTU57,6306
OTU8,5565
OTU95,5522
OTU84,5236
OTU54,5212
OTU64,5083
OTU52,4931
OTU69,4718
OTU138,4628
OTU68,4456
OTU40,4368
OTU70,4332
OTU25,4255
OTU65,4197
OTU67,3683
OTU60,3619
OTU47,3537
OTU92,3333
OTU87,3324
OTU53,3310
OTU88,3230
OTU55,3101
OTU146,3084
OTU73,3029
OTU83,3026
OTU104,2980
OTU74,2951
OTU100,2941
OTU22,2850
OTU75,2828
OTU41,2820
OTU157,2653
OTU89,2598
OTU106,2590
OTU108,2582
OTU125,2562
OTU94,2454
OTU122,2448
OTU110,2378
OTU96,2320
OTU98,2228
OTU127,2170
OTU82,2161
OTU90,2130
OTU148,2123
OTU115,2091
OTU112,2079
OTU61,2036
OTU63,2022
OTU189,2013
OTU167,1999
OTU143,1923
OTU71,1909
OTU59,1875
OTU56,1834
OTU144,1812
OTU171,1793
OTU128,1780
OTU156,1761
OTU117,1727
OTU111,1697
OTU105,1685
OTU194,1672
OTU129,1652
OTU62,1606
OTU102,1598
OTU118,1587
OTU116,1584
OTU81,1564
OTU152,1552
OTU150,1540
OTU142,1534
OTU99,1509
OTU48,1363
OTU159,1356
OTU103,1347
OTU187,1343
OTU124,1330
OTU58,1313
OTU113,1303
OTU133,1278
OTU136,1276
OTU235,1246
OTU270,1213
OTU114,1210
OTU51,1206
OTU135,1113
OTU107,1079
OTU120,1078
OTU154,1071
OTU247,1066
OTU176,1054
OTU168,1033
OTU184,1029
OTU147,1000
OTU139,998
OTU91,992
OTU163,957
OTU145,932
OTU121,929
OTU197,903
OTU252,889
OTU119,882
OTU178,861
OTU42,828
OTU130,803
OTU264,786
OTU162,766
OTU191,760
OTU97,737
OTU236,735
OTU179,700
OTU173,691
OTU206,687
OTU181,686
OTU86,686
OTU232,686
OTU204,679
OTU210,668
OTU192,640
OTU240,638
OTU205,632
OTU186,625
OTU259,593
OTU249,589
OTU258,581
OTU228,577
OTU203,567
OTU230,564
OTU200,557
OTU101,536
OTU276,527
OTU161,525
OTU180,516
OTU160,513
