,pathway,description,#SampleID,Abundance,Group,relative_abundance
3663,1CMET2-PWY,N10-formyl-tetrahydrofolate biosynthesis,BA1,65572.07952758016,CMC,0.007276963715717903
3664,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,4-hydroxyphenylacetate degradation,BA1,14.361806025830116,CMC,1.5938238057279636e-06
3665,AEROBACTINSYN-PWY,aerobactin biosynthesis,BA1,0.0,CMC,0.0
3666,ALL-CHORISMATE-PWY,superpathway of chorismate metabolism,BA1,276.17149938900747,CMC,3.064856254137745e-05
3667,ANAEROFRUCAT-PWY,homolactic fermentation,BA1,63791.01501001616,CMC,0.00707930730519924
3668,ANAGLYCOLYSIS-PWY,glycolysis III (from glucose),BA1,81752.6883680038,CMC,0.009072631998290248
3669,ARG+POLYAMINE-SYN,superpathway of arginine and polyamine biosynthesis,BA1,15034.380811603482,CMC,0.0016684638407465408
3670,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",BA1,8.958775585450484,CMC,9.942140823086448e-07
3671,ARGORNPROST-PWY,"arginine, ornithine and proline interconversion",BA1,3965.6733399304208,CMC,0.0004400967791623196
3672,ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),BA1,40697.09986511202,CMC,0.0045164240815148225
3673,ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),BA1,36903.98239731558,CMC,0.0040954769591805265
3674,ARO-PWY,chorismate biosynthesis I,BA1,61869.07178308831,CMC,0.006866016660357921
3675,ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis,BA1,72175.66844183665,CMC,0.008009807286773927
3676,AST-PWY,L-arginine degradation II (AST pathway),BA1,661.50480988408,CMC,7.341152719237185e-05
3677,BIOTIN-BIOSYNTHESIS-PWY,biotin biosynthesis I,BA1,27186.82129654569,CMC,0.0030170998624110684
3678,BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched amino acid biosynthesis,BA1,62721.75842457232,CMC,0.006960644889257489
3679,CALVIN-PWY,Calvin-Benson-Bassham cycle,BA1,82334.30296850359,CMC,0.00913717758499211
3680,CATECHOL-ORTHO-CLEAVAGE-PWY,catechol degradation to &beta;-ketoadipate,BA1,8.515585062240664,CMC,9.450303233096429e-07
3681,CENTBENZCOA-PWY,benzoyl-CoA degradation II (anaerobic),BA1,0.0,CMC,0.0
3682,CENTFERM-PWY,pyruvate fermentation to butanoate,BA1,7964.286922590053,CMC,0.0008838491530969017
3683,CHLOROPHYLL-SYN,"chlorophyllide a biosynthesis I (aerobic, light-dependent)",BA1,2.332414263987131,CMC,2.5884330787341113e-07
3684,COA-PWY,coenzyme A biosynthesis I,BA1,74452.22225415123,CMC,0.00826245139396782
3685,COBALSYN-PWY,adenosylcobalamin salvage from cobinamide I,BA1,41671.59989574315,CMC,0.0046245707411138376
3686,CODH-PWY,reductive acetyl coenzyme A pathway,BA1,1081.610188900487,CMC,0.00012003337633770012
3687,COLANSYN-PWY,colanic acid building blocks biosynthesis,BA1,41525.924068803535,CMC,0.004608404139192193
3688,COMPLETE-ARO-PWY,superpathway of aromatic amino acid biosynthesis,BA1,64824.42713817561,CMC,0.0071939918266324225
3689,CRNFORCAT-PWY,creatinine degradation I,BA1,640.8888567517795,CMC,7.112363966479097e-05
3690,DAPLYSINESYN-PWY,L-lysine biosynthesis I,BA1,45631.84343467357,CMC,0.005064064939648163
3691,DENITRIFICATION-PWY,nitrate reduction I (denitrification),BA1,280.23778837433446,CMC,3.1099825298591086e-05
3692,DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,BA1,63471.31940133893,CMC,0.007043828586799893
3693,DHGLUCONATE-PYR-CAT-PWY,glucose degradation (oxidative),BA1,10.29589831449174,CMC,1.1426033609894029e-06
3694,DTDPRHAMSYN-PWY,dTDP-L-rhamnose biosynthesis I,BA1,71545.2071696021,CMC,0.0079398408645517
3695,ECASYN-PWY,enterobacterial common antigen biosynthesis,BA1,7.852395501036114,CMC,8.714318282138982e-07
3696,ENTBACSYN-PWY,enterobactin biosynthesis,BA1,30.19470741350538,CMC,3.3509047118503925e-06
3697,FAO-PWY,fatty acid &beta;-oxidation I,BA1,4254.182495844829,CMC,0.00047211453236409946
3698,FASYN-ELONG-PWY,fatty acid elongation -- saturated,BA1,73138.18676004832,CMC,0.008116624257164414
3699,FASYN-INITIAL-PWY,superpathway of fatty acid biosynthesis initiation (E. coli),BA1,30456.102023759897,CMC,0.0033799133860911764
3700,FERMENTATION-PWY,mixed acid fermentation,BA1,39113.56390916838,CMC,0.004340688710958369
3701,FOLSYN-PWY,superpathway of tetrahydrofolate biosynthesis and salvage,BA1,65347.1684897779,CMC,0.007252003862787463
3702,FUC-RHAMCAT-PWY,superpathway of fucose and rhamnose degradation,BA1,3349.959652025356,CMC,0.0003717669930942802
3703,FUCCAT-PWY,fucose degradation,BA1,2717.7269756195165,CMC,0.0003016039865335167
3704,GALACT-GLUCUROCAT-PWY,superpathway of hexuronide and hexuronate degradation,BA1,15865.54094644924,CMC,0.0017607031320241617
3705,GALACTARDEG-PWY,D-galactarate degradation I,BA1,179.16223720751356,CMC,1.9882808487681853e-05
3706,GALACTUROCAT-PWY,D-galacturonate degradation I,BA1,34081.155861652944,CMC,0.0037822093851798775
3707,GALLATE-DEGRADATION-I-PWY,gallate degradation II,BA1,0.0,CMC,0.0
3708,GALLATE-DEGRADATION-II-PWY,gallate degradation I,BA1,0.0,CMC,0.0
3709,GLCMANNANAUT-PWY,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",BA1,15454.739437404274,CMC,0.001715113794348436
3710,GLUCARDEG-PWY,D-glucarate degradation I,BA1,1284.2691805312372,CMC,0.00014252377376578013
3711,GLUCARGALACTSUPER-PWY,superpathway of D-glucarate and D-galactarate degradation,BA1,179.16223720751356,CMC,1.9882808487681853e-05
3712,GLUCONEO-PWY,gluconeogenesis I,BA1,73764.9851989599,CMC,0.00818618419075032
3713,GLUCOSE1PMETAB-PWY,glucose and glucose-1-phosphate degradation,BA1,1072.0202113817131,CMC,0.00011896911363715064
3714,GLUCUROCAT-PWY,superpathway of &beta;-D-glucuronide and D-glucuronate degradation,BA1,13496.95984409557,CMC,0.00149784615289918
3715,GLUTORN-PWY,L-ornithine biosynthesis,BA1,35582.18218364947,CMC,0.0039487881205227445
3716,GLYCOCAT-PWY,glycogen degradation I (bacterial),BA1,71788.95284823758,CMC,0.00796689092110126
3717,GLYCOGENSYNTH-PWY,glycogen biosynthesis I (from ADP-D-Glucose),BA1,59987.70431129784,CMC,0.00665722897317785
3718,GLYCOL-GLYOXDEG-PWY,superpathway of glycol metabolism and degradation,BA1,405.8269089892268,CMC,4.503727368192463e-05
3719,GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),BA1,73255.62021271714,CMC,0.008129656617587314
3720,GLYCOLYSIS-E-D,superpathway of glycolysis and Entner-Doudoroff,BA1,19749.423734965807,CMC,0.0021917230772776704
3721,GLYCOLYSIS-TCA-GLYOX-BYPASS,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",BA1,1462.7982815070989,CMC,0.00016233631897344966
3722,GLYOXYLATE-BYPASS,glyoxylate cycle,BA1,773.9847293230389,CMC,8.589416154530407e-05
3723,GOLPDLCAT-PWY,"superpathway of glycerol degradation to 1,3-propanediol",BA1,1324.6158634892738,CMC,0.00014700130978492857
3724,HCAMHPDEG-PWY,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,BA1,1.3782467532467533,CMC,1.5295308135628303e-07
3725,HEME-BIOSYNTHESIS-II,heme biosynthesis I (aerobic),BA1,10614.975831790936,CMC,0.0011780134857348136
3726,HEMESYN2-PWY,heme biosynthesis II (anaerobic),BA1,14212.07697350762,CMC,0.0015772073908027458
3727,HEXITOLDEGSUPER-PWY,superpathway of hexitol degradation (bacteria),BA1,2797.301931749497,CMC,0.0003104349413028275
3728,HISDEG-PWY,L-histidine degradation I,BA1,33672.379666275134,CMC,0.0037368448098446944
3729,HISTSYN-PWY,L-histidine biosynthesis,BA1,49181.1039735034,CMC,0.005457949659254023
3730,HOMOSER-METSYN-PWY,L-methionine biosynthesis I,BA1,6493.950158533887,CMC,0.0007206762392742974
3731,HSERMETANA-PWY,L-methionine biosynthesis III,BA1,14470.693050274396,CMC,0.0016059077129595503
3732,ILEUSYN-PWY,L-isoleucine biosynthesis I (from threonine),BA1,66874.01681839043,CMC,0.007421448235556587
3733,KDO-NAGLIPASYN-PWY,superpathway of (Kdo)2-lipid A biosynthesis,BA1,3990.024833734143,CMC,0.0004427992241375271
3734,KETOGLUCONMET-PWY,ketogluconate metabolism,BA1,0.6598162537015009,CMC,7.32241370384968e-08
3735,LACTOSECAT-PWY,lactose and galactose degradation I,BA1,1728.0817701184287,CMC,0.00019177656755046396
3736,LEU-DEG2-PWY,L-leucine degradation I,BA1,3869.895019366312,CMC,0.0004294676307729618
3737,LIPASYN-PWY,phospholipases,BA1,0.0,CMC,0.0
3738,LPSSYN-PWY,superpathway of lipopolysaccharide biosynthesis,BA1,0.0,CMC,0.0
3739,MET-SAM-PWY,superpathway of S-adenosyl-L-methionine biosynthesis,BA1,9733.349526111171,CMC,0.001080173632500395
3740,METH-ACETATE-PWY,methanogenesis from acetate,BA1,4951.290909859074,CMC,0.0005494772250108935
3741,METHANOGENESIS-PWY,methanogenesis from H2 and CO2,BA1,6.62599960830643,CMC,7.35330632753936e-07
3742,METHGLYUT-PWY,superpathway of methylglyoxal degradation,BA1,8.263759648125902,CMC,9.170836055234853e-07
3743,METHYLGALLATE-DEGRADATION-PWY,methylgallate degradation,BA1,0.0,CMC,0.0
3744,NAD-BIOSYNTHESIS-II,NAD salvage pathway II,BA1,39.98523159468223,CMC,4.437423390799965e-06
3745,NADSYN-PWY,NAD biosynthesis II (from tryptophan),BA1,7.107123530567233,CMC,7.887241098295432e-07
3746,NAGLIPASYN-PWY,lipid IVA biosynthesis,BA1,51710.74326053002,CMC,0.005738680321422585
3747,NONMEVIPP-PWY,methylerythritol phosphate pathway I,BA1,70604.9418755672,CMC,0.007835493458199231
3748,NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch),BA1,90173.98415399335,CMC,0.010007198422223756
3749,OANTIGEN-PWY,O-antigen building blocks biosynthesis (E. coli),BA1,42561.334648641554,CMC,0.0047233104419148715
3750,ORNARGDEG-PWY,superpathway of L-arginine and L-ornithine degradation,BA1,8.958775585450484,CMC,9.942140823086448e-07
3751,ORNDEG-PWY,superpathway of ornithine degradation,BA1,5.997064023853175,CMC,6.655335261109302e-07
3752,P101-PWY,ectoine biosynthesis,BA1,0.0,CMC,0.0
3753,P105-PWY,TCA cycle IV (2-oxoglutarate decarboxylase),BA1,1413.7870367924577,CMC,0.0001568972197101633
3754,P108-PWY,pyruvate fermentation to propanoate I,BA1,38423.79989665006,CMC,0.004264141074713394
3755,P122-PWY,heterolactic fermentation,BA1,20441.473577209483,CMC,0.0022685243870387453
3756,P124-PWY,Bifidobacterium shunt,BA1,27773.207631793,CMC,0.003082174999812997
3757,P125-PWY,"superpathway of (R,R)-butanediol biosynthesis",BA1,406.8367299873151,CMC,4.514934014093281e-05
3758,P161-PWY,acetylene degradation,BA1,31421.71939523801,CMC,0.0034870742787475946
3759,P162-PWY,L-glutamate degradation V (via hydroxyglutarate),BA1,1580.360006974132,CMC,0.00017538291467003667
3760,P163-PWY,L-lysine fermentation to acetate and butanoate,BA1,1189.2855331236678,CMC,0.0001319828154684197
3761,P164-PWY,purine nucleobases degradation I (anaerobic),BA1,11628.465137750238,CMC,0.001290487040925814
3762,P184-PWY,protocatechuate degradation I (meta-cleavage pathway),BA1,0.0,CMC,0.0
3763,P221-PWY,octane oxidation,BA1,14.157328033754707,CMC,1.5711315418907346e-06
3764,P23-PWY,reductive TCA cycle I,BA1,19729.080538329672,CMC,0.002189465459327326
3765,P241-PWY,coenzyme B biosynthesis,BA1,6.702127659574468,CMC,7.437790618843987e-07
3766,P261-PWY,coenzyme M biosynthesis I,BA1,15.925449109562154,CMC,1.7673515337888886e-06
3767,P281-PWY,3-phenylpropanoate degradation,BA1,5.974002118442149,CMC,6.629741952173482e-07
3768,P341-PWY,glycolysis V (Pyrococcus),BA1,0.0,CMC,0.0
3769,P381-PWY,adenosylcobalamin biosynthesis II (late cobalt incorporation),BA1,74.14368096839378,CMC,8.22821054393784e-06
3770,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",BA1,20138.749164925903,CMC,0.002234929073607774
3771,P42-PWY,incomplete reductive TCA cycle,BA1,76908.10088431739,CMC,0.008534996352289744
3772,P441-PWY,superpathway of N-acetylneuraminate degradation,BA1,24108.908340072023,CMC,0.0026755236753240605
3773,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate",BA1,4716.176065452796,CMC,0.0005233849887405535
3774,P562-PWY,myo-inositol degradation I,BA1,347.02969120305903,CMC,3.8512160806174786e-05
3775,P621-PWY,nylon-6 oligomer degradation,BA1,0.0,CMC,0.0
3776,PANTO-PWY,phosphopantothenate biosynthesis I,BA1,56634.08839245712,CMC,0.006285056220175662
3777,PANTOSYN-PWY,pantothenate and coenzyme A biosynthesis I,BA1,62017.723718125046,CMC,0.006882513540513729
3778,PENTOSE-P-PWY,pentose phosphate pathway,BA1,30433.43767372449,CMC,0.0033773981745249698
3779,PEPTIDOGLYCANSYN-PWY,peptidoglycan biosynthesis I (meso-diaminopimelate containing),BA1,75017.92399869472,CMC,0.008325231026680702
3780,PHOSLIPSYN-PWY,superpathway of phospholipid biosynthesis I (bacteria),BA1,66933.12259920912,CMC,0.0074280075916957474
3781,POLYAMINSYN3-PWY,superpathway of polyamine biosynthesis II,BA1,3983.746015084011,CMC,0.0004421024224526672
3782,POLYAMSYN-PWY,superpathway of polyamine biosynthesis I,BA1,9245.153144964455,CMC,0.0010259952782779214
3783,POLYISOPRENSYN-PWY,polyisoprenoid biosynthesis (E. coli),BA1,63662.00220409135,CMC,0.00706498990800303
3784,PPGPPMET-PWY,ppGpp biosynthesis,BA1,1787.4039768665484,CMC,0.00019835994189443018
3785,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,protocatechuate degradation II (ortho-cleavage pathway),BA1,19.001903634836385,CMC,2.108765869200662e-06
3786,PRPP-PWY,"superpathway of histidine, purine, and pyrimidine biosynthesis",BA1,38456.57535587043,CMC,0.004267778382378957
3787,PWY-1269,CMP-3-deoxy-D-manno-octulosonate biosynthesis I,BA1,47303.10090727717,CMC,0.005249535342224667
3788,PWY-1361,benzoyl-CoA degradation I (aerobic),BA1,0.0,CMC,0.0
3789,PWY-1541,superpathway of taurine degradation,BA1,79.70299188515575,CMC,8.845163736777416e-06
3790,PWY-1622,formaldehyde assimilation I (serine pathway),BA1,654.5660082727871,CMC,7.264148286985337e-05
3791,PWY-181,photorespiration,BA1,1855.5994048850027,CMC,0.00020592803579725378
3792,PWY-1861,formaldehyde assimilation II (RuMP Cycle),BA1,997.972850592535,CMC,0.00011075159237521046
3793,PWY-1882,superpathway of C1 compounds oxidation to CO2,BA1,0.0,CMC,0.0
3794,PWY-2941,L-lysine biosynthesis II,BA1,16078.59097210651,CMC,0.0017843466906471367
3795,PWY-2942,L-lysine biosynthesis III,BA1,79120.75078068986,CMC,0.008780548622821549
3796,PWY-3001,superpathway of L-isoleucine biosynthesis I,BA1,67094.96012142072,CMC,0.007445967762937231
3797,PWY-3661,glycine betaine degradation I,BA1,1620.9788904973211,CMC,0.00017989065857111115
3798,PWY-3781,aerobic respiration I (cytochrome c),BA1,29717.50301908333,CMC,0.0032979462104850395
3799,PWY-3801,sucrose degradation II (sucrose synthase),BA1,0.0,CMC,0.0
3800,PWY-4361,S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,BA1,0.0,CMC,0.0
3801,PWY-4984,urea cycle,BA1,3024.02049113789,CMC,0.00033559538675820223
3802,PWY-5005,biotin biosynthesis II,BA1,1899.2210041151616,CMC,0.00021076901075346116
3803,PWY-5022,4-aminobutanoate degradation V,BA1,3754.537007710388,CMC,0.0004166655956509181
3804,PWY-5028,L-histidine degradation II,BA1,14.371344530508184,CMC,1.5948823561497983e-06
3805,PWY-5088,L-glutamate degradation VIII (to propanoate),BA1,139.5267082562654,CMC,1.5484193892727536e-05
3806,PWY-5097,L-lysine biosynthesis VI,BA1,77793.27930427887,CMC,0.008633230406942331
3807,PWY-5100,pyruvate fermentation to acetate and lactate II,BA1,76943.84369741206,CMC,0.00853896296667595
3808,PWY-5101,L-isoleucine biosynthesis II,BA1,71121.72624301208,CMC,0.007892844408753801
3809,PWY-5103,L-isoleucine biosynthesis III,BA1,59305.091221759416,CMC,0.0065814749217548525
3810,PWY-5104,L-isoleucine biosynthesis IV,BA1,69891.14370485833,CMC,0.007756278593793268
3811,PWY-5121,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),BA1,70384.49611475706,CMC,0.007811029146341857
3812,PWY-5154,L-arginine biosynthesis III (via N-acetyl-L-citrulline),BA1,36090.744157324254,CMC,0.0040052265781145725
3813,PWY-5177,glutaryl-CoA degradation,BA1,4181.651972880879,CMC,0.00046406534454371457
3814,PWY-5178,toluene degradation IV (aerobic) (via catechol),BA1,2.948851362435907,CMC,3.272533755539307e-07
3815,PWY-5180,toluene degradation I (aerobic) (via o-cresol),BA1,10.626568931568691,CMC,1.179300048049799e-06
3816,PWY-5181,toluene degradation III (aerobic) (via p-cresol),BA1,10.881559442363706,CMC,1.2075980173726606e-06
3817,PWY-5182,toluene degradation II (aerobic) (via 4-methylcatechol),BA1,10.626568931568691,CMC,1.179300048049799e-06
3818,PWY-5183,superpathway of aerobic toluene degradation,BA1,0.0,CMC,0.0
3819,PWY-5188,tetrapyrrole biosynthesis I (from glutamate),BA1,20323.135138462483,CMC,0.002255391594375453
3820,PWY-5189,tetrapyrrole biosynthesis II (from glycine),BA1,18313.98536844109,CMC,0.0020324230675081733
3821,PWY-5198,factor 420 biosynthesis,BA1,4.444444444444444,CMC,4.932291486217528e-07
3822,PWY-5265,peptidoglycan biosynthesis II (staphylococci),BA1,178.0272759898632,CMC,1.975685439778426e-05
3823,PWY-5304,superpathway of sulfur oxidation (Acidianus ambivalens),BA1,2533.68,CMC,0.0002811790865879916
3824,PWY-5345,superpathway of L-methionine biosynthesis (by sulfhydrylation),BA1,13162.798091727926,CMC,0.0014607620316591746
3825,PWY-5347,superpathway of L-methionine biosynthesis (transsulfuration),BA1,13816.057433827747,CMC,0.0015332585052141225
3826,PWY-5384,sucrose degradation IV (sucrose phosphorylase),BA1,3394.2234947669867,CMC,0.0003766792420250711
3827,PWY-5415,catechol degradation I (meta-cleavage pathway),BA1,7.6841328521434304,CMC,8.527586185258078e-07
3828,PWY-5417,catechol degradation III (ortho-cleavage pathway),BA1,9.351789952430584,CMC,1.03782946417353e-06
3829,PWY-5419,catechol degradation to 2-oxopent-4-enoate II,BA1,0.6401675724700977,CMC,7.104359401755314e-08
3830,PWY-5420,catechol degradation II (meta-cleavage pathway),BA1,1.0801650103458864,CMC,1.198729953953794e-07
3831,PWY-5430,meta cleavage pathway of aromatic compounds,BA1,1.1961449789224423,CMC,1.3274405315597267e-07
3832,PWY-5431,aromatic compounds degradation via &beta;-ketoadipate,BA1,9.351789952430584,CMC,1.03782946417353e-06
3833,PWY-5484,glycolysis II (from fructose 6-phosphate),BA1,64686.51730700365,CMC,0.007178687068193931
3834,PWY-5505,L-glutamate and L-glutamine biosynthesis,BA1,29223.08812786897,CMC,0.003243077747416635
3835,PWY-5507,adenosylcobalamin biosynthesis I (early cobalt insertion),BA1,2669.460818723548,CMC,0.0002962475745520822
3836,PWY-5509,"adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I",BA1,37733.498102407386,CMC,0.004187533757303458
3837,PWY-5529,superpathway of bacteriochlorophyll a biosynthesis,BA1,0.0,CMC,0.0
3838,PWY-5531,chlorophyllide a biosynthesis II (anaerobic),BA1,2.332414263987131,CMC,2.5884330787341113e-07
3839,PWY-5532,adenosine nucleotides degradation IV,BA1,22.735762155127123,CMC,2.5231366374840046e-06
3840,PWY-5647,2-nitrobenzoate degradation I,BA1,0.0,CMC,0.0
3841,PWY-5651,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,BA1,4.442137522237114,CMC,4.929731343345948e-07
3842,PWY-5654,2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate,BA1,0.0,CMC,0.0
3843,PWY-5655,L-tryptophan degradation IX,BA1,0.0,CMC,0.0
3844,PWY-5659,GDP-mannose biosynthesis,BA1,71513.46994660133,CMC,0.007936318776768633
3845,PWY-5667,CDP-diacylglycerol biosynthesis I,BA1,74155.67817269376,CMC,0.008229541952381951
3846,PWY-5676,acetyl-CoA fermentation to butanoate II,BA1,8651.801566064001,CMC,0.0009601471621066716
3847,PWY-5677,succinate fermentation to butanoate,BA1,565.8111303808215,CMC,6.279177197664995e-05
3848,PWY-5686,UMP biosynthesis,BA1,82100.47911289167,CMC,0.009111228618215152
3849,PWY-5695,urate biosynthesis/inosine 5'-phosphate degradation,BA1,75448.61761841735,CMC,0.00837302792233954
3850,PWY-5705,allantoin degradation to glyoxylate III,BA1,68.35021962581622,CMC,7.585272142684011e-06
3851,PWY-5741,ethylmalonyl-CoA pathway,BA1,486.32099071847335,CMC,5.3970229847016e-05
3852,PWY-5747,2-methylcitrate cycle II,BA1,66.04308482650436,CMC,7.329234262799464e-06
3853,PWY-5837,"1,4-dihydroxy-2-naphthoate biosynthesis I",BA1,1726.349071077767,CMC,0.00019158427857411922
3854,PWY-5838,superpathway of menaquinol-8 biosynthesis I,BA1,5493.993028317591,CMC,0.0006097044383754595
3855,PWY-5840,superpathway of menaquinol-7 biosynthesis,BA1,5472.816245761666,CMC,0.0006073543119285731
3856,PWY-5845,superpathway of menaquinol-9 biosynthesis,BA1,3960.388171620077,CMC,0.000439510249372462
3857,PWY-5850,superpathway of menaquinol-6 biosynthesis I,BA1,3960.388171620077,CMC,0.000439510249372462
3858,PWY-5855,ubiquinol-7 biosynthesis (prokaryotic),BA1,3158.8914323729364,CMC,0.00035056289965001693
3859,PWY-5856,ubiquinol-9 biosynthesis (prokaryotic),BA1,3158.8914323729364,CMC,0.00035056289965001693
3860,PWY-5857,ubiquinol-10 biosynthesis (prokaryotic),BA1,3158.8914323729364,CMC,0.00035056289965001693
3861,PWY-5860,superpathway of demethylmenaquinol-6 biosynthesis I,BA1,2703.5249383413093,CMC,0.0003000278933135462
3862,PWY-5861,superpathway of demethylmenaquinol-8 biosynthesis,BA1,3785.553217938553,CMC,0.0004201076679178882
3863,PWY-5862,superpathway of demethylmenaquinol-9 biosynthesis,BA1,2703.5249383413093,CMC,0.0003000278933135462
3864,PWY-5863,superpathway of phylloquinol biosynthesis,BA1,1966.09707873384,CMC,0.00021819068735661165
3865,PWY-5896,superpathway of menaquinol-10 biosynthesis,BA1,3960.388171620077,CMC,0.000439510249372462
3866,PWY-5897,superpathway of menaquinol-11 biosynthesis,BA1,4871.857828586592,CMC,0.000540662015024997
3867,PWY-5898,superpathway of menaquinol-12 biosynthesis,BA1,4871.857828586592,CMC,0.000540662015024997
3868,PWY-5899,superpathway of menaquinol-13 biosynthesis,BA1,4871.857828586592,CMC,0.000540662015024997
3869,PWY-5910,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),BA1,9980.13328360839,CMC,0.0011075608445863016
3870,PWY-5913,TCA cycle VI (obligate autotrophs),BA1,31735.858520619608,CMC,0.0035219363577537626
3871,PWY-5918,superpathay of heme biosynthesis from glutamate,BA1,14845.474440495622,CMC,0.001647499661813621
3872,PWY-5920,superpathway of heme biosynthesis from glycine,BA1,6993.884280279562,CMC,0.0007761572075523036
3873,PWY-5941,glycogen degradation II (eukaryotic),BA1,0.0,CMC,0.0
3874,PWY-5971,palmitate biosynthesis II (bacteria and plants),BA1,44440.60096019837,CMC,0.004931864949563482
3875,PWY-5973,cis-vaccenate biosynthesis,BA1,82526.39087037936,CMC,0.009158494839260222
3876,PWY-5989,stearate biosynthesis II (bacteria and plants),BA1,36251.20695921991,CMC,0.004023034187626575
3877,PWY-6071,superpathway of phenylethylamine degradation,BA1,2.3367393217906414,CMC,2.593232879034983e-07
3878,PWY-6107,chlorosalicylate degradation,BA1,0.0,CMC,0.0
3879,PWY-6121,5-aminoimidazole ribonucleotide biosynthesis I,BA1,77447.68003664246,CMC,0.008594876989620694
3880,PWY-6122,5-aminoimidazole ribonucleotide biosynthesis II,BA1,76742.9673900723,CMC,0.00851667040541527
3881,PWY-6123,inosine-5'-phosphate biosynthesis I,BA1,78332.71832073695,CMC,0.008693095492477052
3882,PWY-6125,superpathway of guanosine nucleotides de novo biosynthesis II,BA1,55022.792836395405,CMC,0.006106240184734438
3883,PWY-6126,superpathway of adenosine nucleotides de novo biosynthesis II,BA1,81786.87531054886,CMC,0.009076425947517482
3884,PWY-6141,archaetidylserine and archaetidylethanolamine biosynthesis,BA1,9.008971912792166,CMC,9.99784697963347e-07
3885,PWY-6143,CMP-pseudaminate biosynthesis,BA1,28.649574700784573,CMC,3.1794312010597395e-06
3886,PWY-6147,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,BA1,61286.891721830245,CMC,0.006801408320767174
3887,PWY-6148,tetrahydromethanopterin biosynthesis,BA1,9.583923821325046,CMC,1.063590882040775e-06
3888,PWY-6151,S-adenosyl-L-methionine cycle I,BA1,55990.62717922319,CMC,0.0062136471092414025
